,First,Last,Nickname,Stance,Belt,height,reach,weight,win,lose,draw,total_fights,fighters_id
1078,Brodie,Farber,,Orthodox,,185.42,,77.111,16,7,0,23,FIG1120
1079,Joao Paulo,Faria,,,,175.26,,70.307,1,1,0,2,FIG3940
1080,Kalindra,Faria,,Switch,,170.18,,56.699,18,8,1,27,FIG0810
1081,Jair,Farias,,,,,,65.771,10,0,0,10,FIG3097
1082,Chance,Farrar,,Southpaw,,175.26,,65.771,8,3,0,11,FIG2752
1083,Rico,Farrington,The Triggerman,Southpaw,,193.04,200.66,77.111,7,3,0,10,FIG3096
1084,Kelly,Faszholz,,Orthodox,,172.72,,61.235,4,2,0,6,FIG3623
1085,Rodney,Faverus,,Southpaw,,182.88,,97.522,25,20,3,48,FIG0119
1086,Paul,Felder,The Irish Dragon,Orthodox,,180.34,177.8,70.307,17,6,0,23,FIG1145
1087,Carlos,Felipe,Boi,Orthodox,,182.88,190.5,111.13,11,2,0,13,FIG2534
1088,JP,Felty,,,,,,77.111,4,5,0,9,FIG3194
1089,Feng,Pengchao,,,,,,61.235,15,9,1,25,FIG0940
1090,Kevin,Ferguson,Kimbo Slice,Orthodox,,187.96,195.58,106.594,5,2,0,7,FIG3467
1091,Rhadi,Ferguson,,,,170.18,,92.986,3,0,0,3,FIG3864
1092,Tony,Ferguson,El Cucuy,Orthodox,,180.34,193.04,70.307,26,9,0,35,FIG0344
1093,Josh,Ferguson,Taz,Orthodox,,165.1,,56.699,10,5,0,15,FIG2137
1094,CJ,Fernandes,,,,187.96,,77.111,14,8,3,25,FIG0941
1095,Bibiano,Fernandes,,Orthodox,,170.18,,63.049,20,3,0,23,FIG1119
1096,Gabriella,Fernandes,Gabi,Southpaw,,167.64000000000001,167.64000000000001,56.699,8,3,0,11,FIG2776
1097,Emily,Fernandez,,,,,,,0,0,0,0,FIG4090
1098,Lucas,Fernando,,,,190.5,203.2,83.915,9,2,0,11,FIG2771
1099,Alexandre,Ferreira,Cacareco,Orthodox,,170.18,,92.986,18,6,0,24,FIG1025
1100,Cezar,Ferreira,Mutante,Southpaw,,185.42,198.12,83.915,13,8,0,21,FIG1342
1101,Diego,Ferreira,,Orthodox,,175.26,187.96,70.307,18,5,0,23,FIG1118
1102,Erisson,Ferreira,Gato,Orthodox,,167.64000000000001,177.8,56.699,12,2,0,14,FIG2308
1103,Brunno,Ferreira,The Hulk,Orthodox,,177.8,182.88,83.915,10,1,0,11,FIG2758
1104,Scott,Ferrozzo,The Pitbull,Orthodox,,180.34,,146.51,4,2,0,6,FIG3596
1105,Timo,Feucht,,Orthodox,,190.5,200.66,92.986,8,1,0,9,FIG3209
1106,Andre,Fialho,,Orthodox,,182.88,187.96,77.111,16,7,0,23,FIG1116
1107,Drew,Fickett,The Master,Orthodox,,177.8,177.8,70.307,42,21,0,63,FIG0031
1108,Scott,Fiedler,,Orthodox,,193.04,,106.594,0,1,0,1,FIG4001
1109,Ron,Fields,Killing,Orthodox,,187.96,,90.718,28,32,1,61,FIG0036
1110,Michal,Figlak,Mad Dog,Orthodox,,177.8,177.8,70.307,8,1,0,9,FIG3210
1111,Deiveson,Figueiredo,Deus da Guerra,Orthodox,,165.1,172.72,56.699,21,3,1,25,FIG0943
1112,Francisco,Figueiredo,Sniper,Southpaw,,167.64000000000001,172.72,56.699,13,5,1,19,FIG1558
