,First,Last,Nickname,Stance,Belt,height,reach,weight,win,lose,draw,total_fights,fighters_id
0,Tom,Aaron,,,,,,70.307,5,3,0,8,FIG3286
1,Danny,Abbadi,The Assassin,Orthodox,,180.34,,70.307,4,6,0,10,FIG2942
2,Nariman,Abbasov,Bayraktar,Orthodox,,172.72,167.64000000000001,70.307,28,4,0,32,FIG0482
3,David,Abbott,Tank,Switch,,182.88,,120.202,10,15,0,25,FIG0923
4,Hamdy,Abdelwahab,The Hammer,Southpaw,,187.96,182.88,119.748,5,0,0,5,FIG3664
5,Shamil,Abdurakhimov,Abrek,Orthodox,,190.5,193.04,106.594,20,8,0,28,FIG0740
6,Hiroyuki,Abe,Abe Ani,Orthodox,,167.64000000000001,,65.771,8,15,3,26,FIG0889
7,Daichi,Abe,,Orthodox,,180.34,180.34,77.111,6,2,0,8,FIG3257
8,Papy,Abedi,Makambo,Southpaw,,180.34,,83.915,10,4,0,14,FIG2312
9,Ricardo,Abreu,Demente,Orthodox,,180.34,,83.915,5,1,0,6,FIG3602
10,Klidson,Abreu,White Bear,Orthodox,,182.88,187.96,92.986,15,4,0,19,FIG1631
11,Cyborg,Abreu,,,,,,,0,0,0,0,FIG4088
12,Daniel,Acacio,,Orthodox,,172.72,,81.647,30,18,0,48,FIG0114
13,John,Adajar,The Outlaw,Orthodox,,175.26,190.5,77.111,6,2,0,8,FIG3266
14,Scott,Adams,,Southpaw,,182.88,,102.058,8,1,0,9,FIG3146
15,Juan,Adams,The Kraken,Orthodox,,195.57999999999998,203.2,120.202,5,3,0,8,FIG3262
16,Anthony,Adams,Sugafoot,Orthodox,,185.42,193.04,83.915,8,2,0,10,FIG2994
17,Zarrukh,Adashev,The Lion,Southpaw,,165.1,165.1,56.699,4,4,0,8,FIG3280
18,Israel,Adesanya,The Last Stylebender,Switch,,193.04,203.2,83.915,24,3,0,27,FIG0826
19,Sam,Adkins,The Experience,Orthodox,,190.5,,102.058,7,20,2,29,FIG0642
20,Nick,Agallar,,Orthodox,,172.72,,70.307,24,6,0,30,FIG0583
21,Mariya,Agapova,Demonslayer,Southpaw,,167.64000000000001,172.72,56.699,10,4,0,14,FIG2396
22,Marcelo,Aguiar,,Orthodox,,177.8,,77.111,2,3,1,6,FIG3606
23,Fabio,Aguiar,,,,182.88,,83.915,17,1,0,18,FIG1771
24,Edwin,Aguilar,Tigre,,,177.8,,83.915,26,19,0,45,FIG0170
25,Jessica,Aguilar,Jag,Orthodox,,160.02,160.02,52.163,20,8,0,28,FIG0713
26,Kevin,Aguilar,Angel of Death,Orthodox,,170.18,185.42000000000002,70.307,17,5,0,22,FIG1221
27,Jesus,Aguilar,,Orthodox,,162.56,157.48,56.699,9,2,0,11,FIG2804
28,Christian,Aguilera,The Beast,Switch,,175.26,182.88,77.111,14,8,0,22,FIG1219
29,Nick,Aguirre,Slick,Southpaw,,175.26,187.96,61.235,7,1,0,8,FIG3285
30,Mike,Aina,Iron,Orthodox,,175.26,,70.307,14,6,1,21,FIG1398
31,Ashiek,Ajim,Peak Physique,Switch,,172.72,180.34,61.235,6,2,0,8,FIG3263
32,Hitomi,Akano,Girlfight Monster,Southpaw,,162.56,,61.235,18,10,0,28,FIG0732
33,Omari,Akhmedov,Wolverine,Orthodox,,182.88,185.42000000000002,83.915,21,6,1,28,FIG0731
34,Yoshihiro,Akiyama,,Orthodox,,177.8,190.5,77.111,14,6,0,20,FIG1419
35,Rostem,Akman,,Switch,,177.8,182.88,77.111,6,2,0,8,FIG3265
36,Razak,Al-Hassan,,Orthodox,,187.96,,92.986,13,5,0,18,FIG1748
37,Abdul-Kareem,Al-Selwady,Pride of Palestine,Orthodox,,172.72,175.26,70.307,15,3,0,18,FIG1781
38,Mostapha,Al-Turk,,Orthodox,,187.96,195.58,111.13,6,6,0,12,FIG2660
39,Herdem,Alacabek,,Orthodox,,187.96,190.5,92.986,5,1,0,6,FIG3614
40,Javi,Alanis,,,,167.64000000000001,,61.235,0,4,0,4,FIG3828
41,,Alatengheili,The Mongolian Knight,Orthodox,,165.1,167.64000000000001,61.235,16,8,2,26,FIG0903
42,Amir,Albazi,The Prince,Orthodox,,165.1,172.72,56.699,17,1,0,18,FIG1770
43,Brett,Albee,,,,,,102.058,3,2,0,5,FIG3671
44,John,Albert,Prince,Orthodox,,172.72,172.72,61.235,6,5,0,11,FIG2797
45,Junior,Albini,Baby,Orthodox,,190.5,187.96,119.748,14,6,0,20,FIG1412
46,Wes,Albritton,,Orthodox,,177.8,,85.275,0,1,0,1,FIG3991
47,Aleksandra,Albu,Stitch,Orthodox,,157.48000000000002,160.02,52.163,3,2,0,5,FIG3667
48,Israel,Albuquerque,,Orthodox,,,,83.915,0,3,0,3,FIG3911
49,Juan,Alcain,,,,,,,1,2,0,3,FIG3895
50,Iuri,Alcantara,Marajo,Southpaw,,175.26,180.34,61.235,35,10,0,45,FIG0161
51,Ildemar,Alcantara,Marajo,Orthodox,,187.96,198.12,83.915,21,11,0,32,FIG0477
52,Alfonso,Alcarez,,,,160.02,,65.771,1,3,1,5,FIG3680
53,Gilbert,Aldana,El Peligro,Orthodox,,185.42,,113.398,6,2,0,8,FIG3273
54,Irene,Aldana,,Orthodox,,175.26,172.72,61.235,14,7,0,21,FIG1319
55,Hector,Aldana,,Orthodox,,180.34,182.88,77.111,4,3,0,7,FIG3448
56,Jose,Alday,Pochito,Orthodox,,170.18,172.72,61.235,14,6,1,21,FIG1316
57,Jose,Aldo,,Orthodox,,170.18,177.8,61.235,31,8,0,39,FIG0257
58,JJ,Aldrich,,Southpaw,,165.1,170.18,56.699,12,6,0,18,FIG1745
59,Irina,Alekseeva,Russian Ronda,Orthodox,,172.72,170.18,61.235,5,1,0,6,FIG3597
60,Talita,Alencar,,Orthodox,,154.94,147.32,52.163,4,0,0,4,FIG3833
61,Jim,Alers,The Beast,Orthodox,,175.26,180.34,65.771,13,3,0,16,FIG1976
62,John,Alessio,The Natural,Orthodox,,177.8,182.88,70.307,35,17,0,52,FIG0087
63,Houston,Alexander,The Assassin,Orthodox,,182.88,182.88,92.986,17,15,1,33,FIG0438
64,Kenneth,Alexander,The Machine,Orthodox,,175.26,,70.307,7,6,0,13,FIG2449
65,Lucas,Alexander,The Lion,Orthodox,,180.34,185.42000000000002,65.771,8,3,0,11,FIG2768
66,Marcio,Alexandre Junior,Lyoto,Southpaw,,182.88,190.5,83.915,17,4,0,21,FIG1352
67,Olaf,Alfonso,,Orthodox,,187.96,,77.111,8,12,0,20,FIG1436
68,Pablo,Alfonso,The Hurricane,,,172.72,,65.771,9,7,0,16,FIG2032
69,Levi,Alford,,,,,,,1,7,0,8,FIG3246
70,Bill,Algeo,Senor Perfecto,Switch,,182.88,185.42000000000002,65.771,17,7,0,24,FIG1061
71,Royce,Alger,,Orthodox,,177.8,,90.265,3,2,0,5,FIG3704
72,Amir,Aliakbari,,,,190.5,,113.398,10,1,0,11,FIG2763
73,Sultan,Aliev,,Orthodox,,180.34,187.96,77.111,15,3,0,18,FIG1779
74,Nurullo,Aliev,Tajik Eagle,Orthodox,,177.8,182.88,70.307,9,0,0,9,FIG3166
75,Ikram,Aliskerov,,Southpaw,,182.88,193.04,83.915,14,1,0,15,FIG2126
76,Leon,Aliu,The Albanian Lion,Orthodox,,182.88,187.96,83.915,10,2,0,12,FIG2580
77,John,Allan,,Orthodox,,185.42,190.5,92.986,13,7,0,20,FIG1506
78,George,Allen,,Open Stance,,187.96,,92.986,13,19,2,34,FIG0420
79,Arnold,Allen,Almighty,Southpaw,,172.72,177.8,65.771,19,2,0,21,FIG1327
80,Brendan,Allen,All In,Orthodox,,187.96,190.5,83.915,22,5,0,27,FIG0772
81,Daniel,Allen,,Southpaw,,182.88,190.5,70.307,4,0,0,4,FIG4110
82,Daniel,Allen,,Southpaw,,182.88,190.5,70.307,4,0,0,4,FIG4106
83,Ben,Alloway,Blanco,Orthodox,,180.34,193.04,77.111,18,8,0,26,FIG0868
84,Assu,Almabayev,Zulfikar,Orthodox,,162.56,165.1,56.699,18,2,0,20,FIG1500
85,Ricardo,Almeida,Big Dog,Orthodox,,182.88,187.96,77.111,13,5,0,18,FIG1739
86,Magno,Almeida,,,,182.88,,70.307,10,3,0,13,FIG2441
87,Thomas,Almeida,Thominhas,Southpaw,,170.18,177.8,65.771,22,5,0,27,FIG0760
88,Ericka,Almeida,,Orthodox,,167.64000000000001,,52.163,7,3,0,10,FIG3067
89,Estefani,Almeida,,Orthodox,,162.56,,56.699,7,3,0,10,FIG3059
90,Jailton,Almeida,Malhadinho,Orthodox,,190.5,200.66,92.986,19,2,0,21,FIG1344
91,Lucas,Almeida,,Orthodox,,180.34,180.34,65.771,14,2,0,16,FIG2026
92,Cesar,Almeida,Cesinha,Orthodox,,185.42,187.96,83.915,4,0,0,4,FIG3792
93,Mauricio,Alonso,,,,187.96,,77.111,13,7,0,20,FIG1492
94,Sarah,Alpar,Too Sweet,Southpaw,,162.56,160.02,61.235,9,6,0,15,FIG2125
95,Ali,AlQaisi,The Royal Fighter,Orthodox,,167.64000000000001,172.72,61.235,8,5,0,13,FIG2568
96,Rico,Altamirano,,,,177.8,,77.111,4,3,0,7,FIG3492
97,Victor,Altamirano,El Magnifico,Switch,,172.72,177.8,56.699,12,3,0,15,FIG2136
98,Mike,Altman,,Orthodox,,177.8,,83.915,1,4,0,5,FIG3696
99,Patricia,Alujas,The Angel,Orthodox,,162.56,162.56,52.163,9,3,0,12,FIG2787
100,Sean,Alvarez,,Orthodox,,182.88,,106.594,4,3,0,7,FIG3510
101,Eddie,Alvarez,,Orthodox,,175.26,175.26,70.307,29,6,0,35,FIG0348
102,Jaime,Alvarez,,Orthodox,,172.72,175.26,56.699,6,1,0,7,FIG3513
103,Joel,Alvarez,El Fenomeno,Orthodox,,190.5,195.58,70.307,20,3,0,23,FIG1136
104,Thiago,Alves,Pitbull,Orthodox,,175.26,177.8,77.111,23,15,0,38,FIG0287
105,Anthony,Alves,,,,,,,1,4,0,5,FIG3695
106,Amilcar,Alves,,Southpaw,,182.88,,77.111,15,12,0,27,FIG0763
107,Warlley,Alves,,Orthodox,,180.34,182.88,77.111,15,6,0,21,FIG1350
108,Rafael,Alves,The Turn,Orthodox,,172.72,172.72,70.307,20,12,0,32,FIG0519
109,Sam,Alvey,Smile'N,Southpaw,,187.96,190.5,83.915,33,18,1,52,FIG0085
110,Andre,Amado,Dida,Orthodox,,182.88,,69.853,6,4,1,11,FIG2819
111,Adlan,Amagov,Borz,Orthodox,,187.96,193.04,77.111,14,2,1,17,FIG1857
112,Maiara,Amanajas dos Santos,,Southpaw,,165.1,,52.163,7,3,0,10,FIG3041
113,Rayanne,Amanda,,Orthodox,,157.48000000000002,157.48,52.163,11,6,0,17,FIG1858
114,Chris,Amarante,,,,,,83.915,2,0,0,2,FIG3930
115,Jimmy,Ambriz,The Titan,Southpaw,,187.96,,142.881,17,21,1,39,FIG0255
116,JJ,Ambrose,,Orthodox,,177.8,,77.111,28,7,0,35,FIG0360
117,Alen,Amedovski,,Orthodox,,177.8,187.96,83.915,8,4,0,12,FIG2582
118,Hyder,Amil,The Hurricane,Switch,,175.26,177.8,65.771,8,0,0,8,FIG3261
119,Makwan,Amirkhani,Mr. Finland,Southpaw,,177.8,182.88,65.771,17,9,0,26,FIG0862
120,Jaqueline,Amorim,,Orthodox,,160.02,172.72,52.163,7,1,0,8,FIG3252
121,Bertrand,Amoussou,,Orthodox,,172.72,,86.182,1,1,0,2,FIG3942
122,Karl,Amoussou,The Psycho,Orthodox,,180.34,,83.915,27,7,2,36,FIG0332
123,Eryk,Anders,Ya Boi,Southpaw,,185.42,190.5,83.915,15,8,0,23,FIG1134
124,Matt,Andersen,,Southpaw,,187.96,,104.326,14,8,1,23,FIG1131
125,Andy,Anderson,The Hammer,,,167.64000000000001,,108.862,0,1,0,1,FIG4045
126,Lowell,Anderson,,Orthodox,,167.64000000000001,,72.575,0,1,0,1,FIG4046
127,Corey,Anderson,Overtime,Orthodox,,190.5,200.66,92.986,14,5,0,19,FIG1589
128,Derek,Anderson,Barbaric,,,182.88,,70.307,14,3,0,17,FIG1870
129,Megan,Anderson,,Orthodox,,182.88,182.88,65.771,11,5,0,16,FIG1997
130,Tatsuya,Ando,,,,,,61.235,13,3,1,17,FIG1891
131,Alex,Andrade,El Toro,Orthodox,,180.34,,90.718,10,5,0,15,FIG2114
132,Jessica,Andrade,Bate Estaca,Orthodox,,154.94,157.48,52.163,24,12,0,36,FIG0333
133,Viscardi,Andrade,,Orthodox,,180.34,190.5,77.111,19,6,0,25,FIG0912
134,Jermaine,Andre,,Orthodox,,170.18,,90.718,14,4,0,18,FIG1672
135,Juan,Andres Luna,,Orthodox,,170.18,182.88,56.699,12,1,0,13,FIG2503
136,Fellipe,Andrew,,,,,,,0,0,0,0,FIG4092
137,Dylan,Andrews,The Villain,Switch,,185.42,187.96,83.915,18,7,0,25,FIG0909
138,Reese,Andy,Riptide,Orthodox,,182.88,,92.986,7,3,0,10,FIG3024
139,,Angga,The Hitman,Orthodox,,170.18,172.72,65.771,13,3,0,16,FIG2040
140,Julius,Anglickas,,Orthodox,,190.5,,92.986,5,1,0,6,FIG3591
141,Collin,Anglin,,Orthodox,,175.26,180.34,65.771,8,3,0,11,FIG2901
142,Chad,Anheliger,The Monster,Orthodox,,167.64000000000001,162.56,61.235,12,6,0,18,FIG1646
143,Yoji,Anjo,Mr. 200%,Orthodox,,180.34,,92.986,0,5,1,6,FIG3592
144,Magomed,Ankalaev,,Orthodox,,190.5,190.5,92.986,18,1,1,20,FIG1457
145,Gadzhimurad,Antigulov,,Orthodox,,180.34,177.8,92.986,20,8,0,28,FIG0753
146,Adam,Antolin,Captain Chaos,Orthodox,,165.1,160.02,56.699,12,3,0,15,FIG2111
147,Angelo,Antonio,,Orthodox,,,,92.986,1,4,0,5,FIG3682
148,Azunna,Anyanwu,Zulu,Orthodox,,185.42,,113.852,14,5,0,19,FIG1605
149,Shinsho,Anzai,Animal,Orthodox,,170.18,177.8,77.111,10,3,0,13,FIG2557
150,Shinya,Aoki,Tobikan Judan,Southpaw,,180.34,,69.853,39,7,0,46,FIG0145
151,,Aoriqileng,The Mongolian Murderer,Orthodox,,170.18,175.26,61.235,24,10,0,34,FIG0396
152,Josh,Appelt,,Southpaw,,177.8,,115.666,15,7,0,22,FIG1200
153,Erik,Apple,,Orthodox,,182.88,,77.111,10,3,0,13,FIG2537
154,Kenji,Arai,,Southpaw,,177.8,,65.771,15,15,5,35,FIG0371
155,Romie,Aram,,Orthodox,,177.8,,77.111,7,1,0,8,FIG3267
156,Felipe,Arantes,Sertanejo,Orthodox,,172.72,185.42000000000002,61.235,18,10,1,29,FIG0650
157,Igor,Araujo,,Orthodox,,185.42,195.58,77.111,25,9,0,34,FIG0412
158,Viviane,Araujo,Vivi,Orthodox,,162.56,172.72,56.699,11,5,0,16,FIG2042
159,Julio,Arce,,Southpaw,,170.18,177.8,61.235,18,6,0,24,FIG1065
160,Art,Arciniega,King Arthur,,,172.72,,65.771,15,7,0,22,FIG1190
161,Tristan,Arenal,,,,,,70.307,7,4,0,11,FIG2889
162,Gabriel,Arges,,,,,,77.111,0,0,0,0,FIG4086
163,Dan,Argueta,The Determined,Southpaw,,170.18,172.72,61.235,9,1,0,10,FIG3045
164,Reza,Arianto,The Crazy Lion,,,,,70.307,5,0,0,5,FIG3706
165,Hashem,Arkhagha,,Orthodox,,187.96,190.5,83.915,6,1,0,7,FIG3393
166,Andrei,Arlovski,The Pitbull,Orthodox,,190.5,195.58,108.862,34,22,0,56,FIG0050
167,Garrett,Armfield,,Orthodox,,167.64000000000001,177.8,61.235,9,3,0,12,FIG2665
168,Joey,Armstrong,,,,,,,5,2,0,7,FIG3406
169,Austin,Arnett,,Orthodox,,182.88,182.88,65.771,16,6,0,22,FIG1207
170,Ricardo,Arona,The Brazilian Tiger,Orthodox,,180.34,,92.986,14,5,0,19,FIG1622
171,Eli,Aronov,The Israeli Tank,Orthodox,,177.8,182.88,83.915,6,1,0,7,FIG3392
172,Chalid,Arrab,Die Faust,Orthodox,,180.34,,92.986,7,3,0,10,FIG3085
173,Akbarh,Arreola,El Caballero,Southpaw,,177.8,180.34,70.307,23,11,1,35,FIG0368
174,Matt,Arroyo,No Regard,Orthodox,,177.8,182.88,77.111,3,3,0,6,FIG3653
175,Antonio,Arroyo,,Orthodox,,190.5,185.42000000000002,83.915,9,5,0,14,FIG2318
176,Gilles,Arsene,,Southpaw,,175.26,,86.182,1,1,0,2,FIG3987
177,Veta,Arteaga,,,,170.18,,56.699,3,1,0,4,FIG3793
178,Cesar,Arzamendia,Goku,Orthodox,,180.34,,70.307,8,3,0,11,FIG2879
179,Teddy,Ash,Bear,Switch,,185.42,185.42000000000002,83.915,14,5,0,19,FIG1632
180,Arman,Ashimov,Mustafa Ozturik,,,167.64000000000001,,56.699,11,3,1,15,FIG2154
181,Yanal,Ashmouz,Red Fox,Orthodox,,175.26,172.72,70.307,7,1,0,8,FIG3260
182,,Asjabharan,,,,167.64000000000001,,61.235,7,6,0,13,FIG2407
183,Askar,Askar,AK-47,Orthodox,,170.18,175.26,65.771,11,1,0,12,FIG2720
184,Askar,Askarov,Bullet,Orthodox,,167.64000000000001,170.18,56.699,14,1,1,16,FIG2059
185,Cyril,Asker,Silverback,Orthodox,,182.88,187.96,112.037,9,4,0,13,FIG2475
186,Khusein,Askhabov,Nohcho,Orthodox,,172.72,175.26,65.771,23,1,0,24,FIG0975
187,Scott,Askham,,Southpaw,,190.5,190.5,83.915,14,4,0,18,FIG1710
188,Ben,Askren,Funky,Orthodox,,180.34,185.42000000000002,77.111,19,2,0,21,FIG1378
189,Ibo,Aslan,The Last Ottoman,Orthodox,,190.5,195.58,92.986,12,1,0,13,FIG2434
190,Tom,Aspinall,,Orthodox,,195.57999999999998,198.12,116.12,13,3,0,16,FIG1919
191,Bruno,Assis,Brunao,Orthodox,,187.96,,83.915,8,4,0,12,FIG2731
192,Junior,Assuncao,,Orthodox,,175.26,182.88,65.771,16,6,0,22,FIG1246
193,Raphael,Assuncao,,Orthodox,,165.1,167.64000000000001,61.235,28,10,0,38,FIG0283
194,Bazigit,Atajev,Volk,Orthodox,,185.42,,104.326,17,1,0,18,FIG1731
195,Rich,Attonito,The Raging Bull,Orthodox,,177.8,182.88,77.111,10,5,0,15,FIG2178
196,Olivier,Aubin-Mercier,The Canadian Gangster,Southpaw,,175.26,177.8,70.307,11,5,0,16,FIG1972
197,Pat,Audinwood,Awesomely Awesome,Orthodox,,182.88,,70.307,11,2,1,14,FIG2257
198,Jose,Augusto,Gugu,,,190.5,,113.852,6,2,0,8,FIG3270
199,Marcus,Aurelio,Maximus,Orthodox,,177.8,187.96,70.307,22,10,0,32,FIG0517
200,David,Avellan,,Orthodox,,175.26,,83.915,2,1,0,3,FIG3856
201,Blas,Avena,The Disciple,Orthodox,,182.88,187.96,77.111,8,7,0,15,FIG2180
202,Levi,Avera,,,,185.42,,77.111,18,15,0,33,FIG0432
203,Anthony,Avila,,,,170.18,,65.771,13,5,0,18,FIG1734
204,Chris,Avila,,Orthodox,,177.8,,65.771,5,4,0,9,FIG3211
205,Julia,Avila,Raging Panda,Orthodox,,170.18,172.72,61.235,9,2,0,11,FIG2829
206,Saad,Awad,Assassin,,,180.34,,70.307,20,9,0,29,FIG0665
207,Javy,Ayala,Eye Candy,,,185.42,,120.202,10,5,0,15,FIG2162
208,Jessin,Ayari,,Orthodox,,182.88,185.42000000000002,70.307,16,6,0,22,FIG1260
209,Abu,Azaitar,Captain Morocco,Orthodox,,175.26,193.04,83.915,14,3,1,18,FIG1736
210,Ottman,Azaitar,Bulldozer,Switch,,172.72,180.34,70.307,13,2,0,15,FIG2147
211,Luiz,Azeredo,,Orthodox,,175.26,,69.853,15,10,0,25,FIG0920
212,Luciano,Azevedo,,Orthodox,,190.5,,73.028,17,9,1,27,FIG0815
213,Hunter,Azure,,Orthodox,,172.72,175.26,65.771,9,2,0,11,FIG2831
214,Niklas,Backstrom,,Orthodox,,185.42,,65.771,11,3,0,14,FIG2284
215,Seth,Baczynski,The Polish Pistola,Orthodox,,190.5,190.5,77.111,20,14,0,34,FIG0415
216,Abdul Azeem,Badakhshi,The Afghan Lion,,,,,65.771,13,3,0,16,FIG1940
217,Ryan,Bader,Darth,Orthodox,,187.96,187.96,92.986,23,5,0,28,FIG0707
218,Izabela,Badurek,,Orthodox,,165.1,,52.163,6,3,0,9,FIG3232
219,Miguel,Baeza,Caramel Thunder,Orthodox,,187.96,187.96,77.111,10,3,0,13,FIG2551
220,Ali,Bagautinov,Puncher,Orthodox,,162.56,165.1,56.699,15,6,0,21,FIG1317
221,Mehdi,Baghdad,The Sultan,Orthodox,,185.42,,70.307,11,5,0,16,FIG1960
222,Melsik,Baghdasaryan,The Gun,Southpaw,,175.26,177.8,65.771,8,2,0,10,FIG2981
223,Siyar,Bahadurzada,The Great,Orthodox,,180.34,185.42000000000002,77.111,24,8,1,33,FIG0459
224,Ignacio,Bahamondes,La Jaula,Orthodox,,190.5,190.5,70.307,14,5,0,19,FIG1593
225,Bahatebole,Batebolati,Lion King,Southpaw,,180.34,180.34,70.307,8,1,1,10,FIG2997
226,Shamar,Bailey,,Southpaw,,175.26,190.5,70.307,16,11,0,27,FIG0794
227,Jordan,Bailey,,,,175.26,,65.771,6,3,0,9,FIG3151
228,Scott,Baker,,,,182.88,,95.254,1,1,0,2,FIG3979
229,Bryan,Baker,The Beast,Orthodox,,190.5,,83.915,18,5,0,23,FIG1127
230,Jin,Bala,,,,175.26,,70.307,23,3,0,26,FIG0834
231,,Balajin,The Snow Leopard,Orthodox,,175.26,182.88,65.771,23,4,0,27,FIG0786
232,Oluwale,Bamgbose,Holy War Angel,Switch,,180.34,198.12,83.915,6,4,0,10,FIG2973
233,Stephen,Banaszak,,,,182.88,,65.771,5,5,0,10,FIG2971
234,Marcin,Bandel,Bomba,Orthodox,,177.8,,70.307,15,7,0,22,FIG1289
235,Humberto,Bandenay,,Southpaw,,180.34,180.34,65.771,14,7,0,21,FIG1329
236,Tae Hyun,Bang,Supernatural,Switch,,175.26,180.34,70.307,18,10,0,28,FIG0698
237,Yohan,Banks,,,,,,,2,1,0,3,FIG3897
238,Shauna,Bannon,Mama B,Switch,,165.1,165.1,52.163,5,1,0,6,FIG3627
239,Antonio,Banuelos,,Orthodox,,165.1,160.02,61.235,20,11,1,32,FIG0512
240,Renan,Barao,The Baron,Orthodox,,167.64000000000001,177.8,65.771,34,9,0,43,FIG0200
241,Junior,Barata,,Orthodox,,177.8,,77.111,9,3,1,13,FIG2404
242,Maycee,Barber,The Future,Switch,,165.1,165.1,56.699,13,2,0,15,FIG2086
243,Bryan,Barberena,Bam Bam,Southpaw,,182.88,182.88,77.111,18,11,0,29,FIG0672
244,Dione,Barbosa,The Witch,Orthodox,,167.64000000000001,167.64000000000001,56.699,6,2,0,8,FIG3279
245,Edson,Barboza,Junior,Orthodox,,180.34,190.5,65.771,23,11,0,34,FIG0416
246,Raoni,Barcelos,,Orthodox,,170.18,170.18,61.235,17,5,0,22,FIG1285
247,Daniel,Barez,,Orthodox,,167.64000000000001,167.64000000000001,56.699,16,6,0,22,FIG1295
248,Danny,Barlow,LeftHand2God,,,,,77.111,6,0,0,6,FIG3646
249,Luke,Barnatt,The Bigslow,Orthodox,,198.12,195.58,83.915,13,4,0,17,FIG1833
250,James,Barnes,Mooka,Orthodox,,172.72,180.34,61.235,14,5,0,19,FIG1628
251,Nick,Barnes,,,,180.34,,77.111,11,2,0,13,FIG2484
252,Shonte,Barnes,Shyne,Southpaw,,180.34,193.04,83.915,6,2,1,9,FIG3145
253,Josh,Barnett,The Warmaster,Orthodox,,190.5,198.12,113.398,35,8,0,43,FIG0196
254,Chris,Barnett,Beastboy,Orthodox,,175.26,190.5,120.202,23,8,0,31,FIG0570
255,Chris,Barnhizer,,,,,,,2,3,0,5,FIG3712
256,David,Baron,,Switch,,167.64000000000001,,70.307,17,4,1,22,FIG1283
257,Phil,Baroni,The New York Bad Ass,Orthodox,,175.26,182.88,77.111,15,18,0,33,FIG0467
258,Dan,Barrera,The Fireman,Orthodox,,175.26,,77.111,3,1,0,4,FIG3779
259,Carlos,Barreto,,Orthodox,,193.04,,104.326,14,9,0,23,FIG1150
260,Jose,Barreto,,Southpaw,,,,83.915,0,1,0,1,FIG4067
261,Peter,Barrett,Slippery,Southpaw,,177.8,185.42000000000002,65.771,11,5,0,16,FIG2031
262,Marc-Andre,Barriault,Powerbar,Orthodox,,185.42,187.96,83.915,16,6,0,22,FIG1263
263,David,Barrios,,,,167.64000000000001,,65.771,4,8,0,12,FIG2655
264,Alexandre,Barros,Baixinho,Southpaw,,175.26,,77.111,22,11,0,33,FIG0429
265,Ricardo,Barros,,,,185.42,,92.986,2,2,0,4,FIG3784
266,Francimar,Barroso,Bodao,Orthodox,,185.42,190.5,92.986,19,7,0,26,FIG0835
267,Pat,Barry,HD,Orthodox,,180.34,187.96,106.594,8,7,0,15,FIG2236
268,Dean,Barry,The Sniper,Orthodox,,177.8,182.88,77.111,4,2,0,6,FIG3523
269,Enrique,Barzola,El Fuerte,Orthodox,,170.18,177.8,65.771,17,5,2,24,FIG1000
270,Javid,Basharat,The Snow Leopard,Orthodox,,175.26,175.26,61.235,14,0,0,14,FIG2384
271,Farid,Basharat,Ferocious,Orthodox,,172.72,180.34,61.235,11,0,0,11,FIG2898
272,Stephen,Bass,Bigfish,Orthodox,,175.26,,65.771,11,2,0,13,FIG2420
273,Sean,Bassett,,,,,,70.307,0,4,0,4,FIG3819
274,Ryan,Bastianelli,Relentless,,,165.1,,61.235,6,7,0,13,FIG2435
275,Shayna,Baszler,The Queen of Spades,Orthodox,,170.18,,61.235,15,11,0,26,FIG0847
276,Michel,Batista,,Orthodox,,190.5,,117.934,4,1,0,5,FIG3666
277,Bryan,Battle,Pooh Bear,Orthodox,,185.42,195.58,77.111,10,2,0,12,FIG2686
278,Alan,Baudot,The Black Samourai,Orthodox,,190.5,200.66,110.223,8,4,0,12,FIG2697
279,Mario,Bautista,,Switch,,175.26,175.26,61.235,13,2,0,15,FIG2198
280,Chris,Beal,Real Deal,Orthodox,,170.18,175.26,56.699,10,5,0,15,FIG2197
281,Donovan,Beard,The Highlight Reel,Orthodox,,187.96,198.12,83.915,7,2,0,9,FIG3102
282,Rudy,Bears,,Southpaw,,180.34,,77.111,16,15,0,31,FIG0553
283,Salvador,Becerra,,,,175.26,,70.307,5,2,0,7,FIG3442
284,Ariel,Beck,,Southpaw,,167.64000000000001,167.64000000000001,56.699,4,5,0,9,FIG3162
285,Jeff,Bedard,Little Popeye,Orthodox,,167.64000000000001,,65.771,13,3,0,16,FIG1961
286,Eric,Bedard,Lucky Strikes,,,187.96,,108.408,6,7,0,13,FIG2543
287,Johnny,Bedford,Brutal,Orthodox,,177.8,180.34,61.235,21,13,1,35,FIG0365
288,Rolando,Bedoya,The Machine,Orthodox,,180.34,187.96,77.111,14,3,0,17,FIG1864
289,Chase,Beebe,,Orthodox,,170.18,170.18,61.235,24,13,1,38,FIG0282
290,Lyle,Beerbohm,Fancy Pants,Southpaw,,177.8,,70.307,24,3,0,27,FIG0775
291,Allan,Begosso,Mini,Orthodox,,165.1,167.64000000000001,61.235,7,2,1,10,FIG3011
292,Mirsad,Bektic,,Orthodox,,172.72,177.8,65.771,13,4,0,17,FIG1913
293,Diana,Belbita,The Warrior Princess,Orthodox,,170.18,172.72,52.163,15,7,0,22,FIG1296
294,Alan,Belcher,The Talent,Orthodox,,187.96,190.5,83.915,18,8,0,26,FIG0845
295,Vitor,Belfort,The Phenom,Southpaw,,182.88,187.96,83.915,26,14,0,40,FIG0251
